ticker,body,key_segments,nlp_text
TSLA,"$TSLA   Car drove me home tonight from a  concert.  Dropped  another couple off, and into my driveway.  I didn’t do anything.    I can’t believe people are this stupid, this is the cheapest stock that exists.",Car drove me home tonight from a concert.,Car drove me home tonight from a concert.
TSLA,$TSLA Success takes time and requires consistent effort. You won&#39;t achieve it all at once. Stay focused and keep working step by step  @EllaConnolly1,Success takes time and requires consistent effort.,Success takes time and requires consistent effort.
TSLA,$TSLA I&#39;m back in folks January 500,I m back in folks January 500,I m back in folks January 500
TSLA,$TSLA trade I&#39;m looking at going into next week but it&#39;ll be a SMALL trade for 11/21 465C    Watchung this internal buy range with a SL below 425,trade I m looking at going into next week but it ll be a SMALL trade for 11 21 465C Watchung this internal buy range with a SL below 425,trade I m looking at going into next week but it ll be a SMALL trade for 11 21 465C Watchung this internal buy range with a SL below 425
TSLA,$TSLA @MarketSurge #IBDPartner  chart  back to this major resistance.  IF it can get going this would be major breakout level.   Keep it high on radar next week.,chart back to this major resistance.,chart back to this major resistance.
TSLA,"$TSLA elon should throw 20 billion into either bit or eth, why not? gonna make plenty of money from here on out for capex anyway","elon should throw 20 billion into either bit or eth, why not?","elon should throw 20 billion into either bit or eth, why not?"
TSLA,$TSLA  https://l.smartnews.com/p-6smzdRNm/Q6E2Yp,,
TSLA,Quick little game. What ticker did buy and sell for swing trade?  $SPY $TSLA $SPQ $DIA $ARKK,,
TSLA,$EEIQ to watch for Monday.  No dilution doing a 180 of a confirmed bottom.     $GURE could be setting up but I need to take glance at the filings. $DVLT as well. $TSLA long term.,,
TSLA,$TSLA 🤫🤫,,
TSLA,$RIVN $TSLA $LCID $NIO   Great interview and article…  On what it takes to be a successful company…  Must read!,Great interview and article On what it takes to be a successful company Must read!,Great interview and article On what it takes to be a successful company Must read!
TSLA,$TSLA I don’t believe she’s done bleeding yet 🩸,I don t believe she s done bleeding yet,I don t believe she s done bleeding yet
TSLA,$TSLA DI,,
TSLA,$TSLA yes.. you educated savvy donuts… shorting makes so much sense..  look at all the dips and how many dopes got castrated!  lmao,,
TSLA,$TSLA $TSLW  Behind the scenes how TSLA  Ai blows everyone away  .Robcab looking great 👍👍   https://youtu.be/c2hL8tcqsz0?si=L1I6t3tPKHxx9O6g,Behind the scenes how TSLA Ai blows everyone away .Robcab looking great,Behind the scenes how TSLA Ai blows everyone away .Robcab looking great
TSLA,"$TSLA im buying calls, fkn fomo","im buying calls, fkn fomo","im buying calls, fkn fomo"
TSLA,This is how I trade EV stocks. I have timestamps + buy fills for everything. What&#39;s my win rate?  My trading strategy is to buy the dip when Algos are tired of selling. I buy when H% is low. The results speak for themselves.  You will find result summary for $LCID $TSLA $MULN.X and more.,You will find result summary for .X and more.,You will find result summary for .X and more.
TSLA,$TSLA every earnings gives reason to short some more than others. This for now is going nowhere.,every earnings gives reason to short some more than others.,every earnings gives reason to short some more than others.
TSLA,$TSLA another 3 years like the last 3 and revenue will be nothing.,another 3 years like the last 3 and revenue will be nothing.,another 3 years like the last 3 and revenue will be nothing.
TSLA,$TSLA Monday gap fill and dump?,Monday gap fill and dump?,Monday gap fill and dump?
TSLA,$TSLA,,
TSLA,$TSLA likelihood it hits over $445 next week?,likelihood it hits over next week?,likelihood it hits over next week?
TSLA,$TSLA Success doesn’t happen overnight; it’s all about taking small steps! Stay steady and keep up your efforts. You’ve got this!  @TillyArnold2,Success doesn t happen overnight it s all about taking small steps!,Success doesn t happen overnight it s all about taking small steps!
TSLA,$TSLA,,
TSLA,"$TSLA This stock is an anomaly; dipped after earnings, ripped from $413 low to 451 high today, beforea pullback to 430. Monday who knows but probably will roll up to $450/460- just because.","This stock is an anomaly dipped after earnings, ripped from low to 451 high today, beforea pullback to 430.","This stock is an anomaly dipped after earnings, ripped from low to 451 high today, beforea pullback to 430."
TSLA,$TSLA 386 end of next week. Chart shows even after earnings it could not beat its 450 resistane and has sharply moved downwards. Will fill the gap.,386 end of next week.,386 end of next week.
TSLA,What I said last Sunday?  is that easy....&quot;ALL TIME HIGHS&quot;  $SPY $QQQ $AAPL $TSLA,is that easy.... quot ALL TIME HIGHS quot,is that easy.... quot ALL TIME HIGHS quot
